id;quantity;disease;diseaseOnRoot;diseaseOnTrunk;diseaseOnCollar;diseaseOnCrown;idDisease;vigor;environmentBusyness;sidewalkProximity;isLast;diagnosisNote;developmentStatus;coord_x;coord_y;idDiagnosisYear;idSpecies;idSeedingYear;idStumpDiameter
1;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents ou arrêts;non;true;Arbre d'avenir normal;Arbre jeune;1915370.6;4222837.0;2014;cordata;2014;10 à 20 cm
2;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir normal;Arbre adulte;1913250.5;4222531.0;2013;acerifolia;2004;30 à 40 cm
3;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents ou arrêts;oui;true;Arbre d'avenir normal;Arbre adulte;1913087.0;4223524.5;-999;grandiflora;2004;10 à 20 cm
4;1;1;1;0;0;1;RxxK;vigoureux;passages fréquents et arrêts fréquents;oui;true;Arbre d'avenir normal;Arbre adulte;1914186.8;4224275.0;2014;japonica;2004;40 à 50 cm
5;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents et arrêts fréquents;oui;true;Arbre d'avenir normal;Arbre adulte;1912974.9;4225210.0;2013;americana;2004;20 à 30 cm
6;1;1;0;0;1;0;xxCx;vigoureux;passages fréquents et arrêts fréquents;non;true;Arbre à abattre dans les 5 ans;Arbre adulte;1912600.4;4222098.5;2015;abies;2004;40 à 50 cm
7;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir normal;Arbre adulte;1914849.6;4222164.5;2013;excelsior;2004;30 à 40 cm
8;1;1;0;0;0;1;xxxK;vieillissement dépérissement;passages fréquents et arrêts fréquents;non;true;Arbre à abattre dans les 10 ans;Arbre vieillissant;1914402.6;4224091.5;2014;nigra;2004;30 à 40 cm
9;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents et arrêts fréquents;oui;true;Arbre d'avenir normal;Arbre adulte;1915052.5;4224643.5;2013;acerifolia;2004;40 à 50 cm
10;1;1;0;0;0;1;xxxK;vigoureux;passages fréquents ou arrêts;non;true;Arbre d'avenir incertain;Arbre adulte;1915322.2;4224680.0;2015;Unknown;2004;40 à 50 cm
11;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents ou arrêts;non;true;Arbre d'avenir normal;Arbre jeune;1913048.1;4222115.0;2015;Unknown;2009;10 à 20 cm
12;1;1;0;0;0;1;xxxK;vigoureux;passages fréquents et arrêts fréquents;oui;true;Arbre d'avenir normal;Arbre adulte;1914626.2;4223904.5;2014;tomentosa;2004;40 à 50 cm
13;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents et arrêts fréquents;oui;true;Arbre d'avenir incertain;Arbre adulte;1914914.6;4222701.0;2013;japonica;2004;20 à 30 cm
14;1;0;0;0;0;0;xxxx;vigoureux;passages fréquents et arrêts fréquents;non;true;Arbre d'avenir normal;Arbre jeune;1913274.0;4223605.5;2015;verrucosa;2005;10 à 20 cm
