coord_x;coord_y;stationID;sector;closestTrainStation;closestIndustrialZone;closestParking;closestRiver;closestMotorways;closestMall;closestRoads;environmentTypeCode;environmentTypeDesc;distanceToPollutionStation;IDPollutionStation
1915370.6;4222837.0;ESP385;5;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;ESP151;Arbre de voirie;-1.0;
1913250.5;4222531.0;ESP116;3;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;ESP151;Arbre de voirie;-1.0;
1913087.0;4223524.5;ESP635;3;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;ESP174;Arbre d'espaces ouverts;-1.0;
1914186.8;4224275.0;ESP109;2;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;ESP151;Arbre de voirie;-1.0;
1912974.9;4225210.0;ESP194;1;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;ESP151;Arbre de voirie;-1.0;
1912600.4;4222098.5;ESP872;3;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;ESP174;Arbre d'espaces ouverts;-1.0;
1914849.6;4222164.5;ESP1398;6;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;ESP174;Arbre d'espaces ouverts;-1.0;
1914402.6;4224091.5;ESP1311;2;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;ESP174;Arbre d'espaces ouverts;-1.0;
1915052.5;4224643.5;ESP18;2;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;ESP151;Arbre de voirie;-1.0;
1915322.2;4224680.0;ESP995;5;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;ESP174;Arbre d'espaces ouverts;-1.0;
1913048.1;4222115.0;ESP84;3;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;ESP174;Arbre d'espaces ouverts;-1.0;
1914626.2;4223904.5;ESP666;4;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;ESP151;Arbre de voirie;-1.0;
1914914.6;4222701.0;ESP1343;5;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;ESP151;Arbre de voirie;-1.0;
1913274.0;4223605.5;ESP1287;1;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;ESP151;Arbre de voirie;-1.0;
1912687.9;4222887.5;ESP372;3;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;ESP151;Arbre de voirie;-1.0;
1913312.0;4223589.0;ESP57;3;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;ESP151;Arbre de voirie;-1.0;
1914993.6;4222813.0;ESP637;4;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;ESP151;Arbre de voirie;-1.0;
1914017.1;4222361.0;ESP1073;4;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;ESP174;Arbre d'espaces ouverts;-1.0;
1914384.8;4223660.0;ESP127;4;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;ESP151;Arbre de voirie;-1.0;
