id,coord_x,coord_y,join_id,join_@id,join_barrier,join_landuse,join_name,join_source,join_type,join_industry,join_addr_city,join_addr_stree,join_phone,join_website,join_private,join_CLC_code,join_CLC_id,join_CLC_year,join_descriptio,join_operator,join_power,join_descript_1,join_alt_name,join_man_made,join_short_name,join_amenity,join_recycling_,join_recyclin_1,join_fenced,join_heritage,join_heritage_o,join_mhs_inscri,join_ref_mhs,join_source_her,join_wikidata,join_url,join_access,join_fence_type,join_contact_ph,join_pipeline,join_substance,join_old_name,join_ref_FR_SIR,distance
1,1915370.6,4222837,way/106192628,way/106192628,,industrial,Schneider,"cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour : 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464.039550925948
2,1913250.5,4222531,way/28539732,way/28539732,,industrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.738969630747
3,1913087,4223524.5,way/526868314,way/526868314,,industrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.856333774185
4,1914186.8,4224275,relation/6772067,relation/6772067,wall,industrial,ARaymond,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1256.28479930047
5,1912974.9,4225210,way/170631839,way/170631839,,industrial,Gaz et électricité de Grenoble,"cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour : 2012",,,,,,,,,,,,,,,,,GEG,,,,,,,,,,,,,,,,,,,95.6030378390001
6,1912600.4,4222098.5,way/199256916,way/199256916,,industrial,Activillage Bachelard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+33 4 76 97 28 49,,,,,122.183992997137
7,1914849.6,4222164.5,way/28539732,way/28539732,,industrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1025.84027821001
8,1914402.6,4224091.5,relation/6772067,relation/6772067,wall,industrial,ARaymond,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1503.00044926216
9,1915052.5,4224643.5,way/105914393,way/105914393,,industrial,Elis,"cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour : 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1404.08506737635
10,1915322.2,4224680,way/105914393,way/105914393,,industrial,Elis,"cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour : 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1265.20059430437
11,1913048.1,4222115,way/28539732,way/28539732,,industrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.984281378941
12,1914626.2,4223904.5,way/105914393,way/105914393,,industrial,Elis,"cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour : 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1417.71649972602
13,1914914.6,4222701,way/106192628,way/106192628,,industrial,Schneider,"cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour : 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,939.072166105566
14,1913274,4223605.5,way/526868314,way/526868314,,industrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511.512680330791
15,1912687.9,4222887.5,way/526868314,way/526868314,,industrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485.392863315959
16,1913312,4223589,way/526868314,way/526868314,,industrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541.460415840858
17,1914993.6,4222813,way/106192628,way/106192628,,industrial,Schneider,"cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour : 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,827.170425016606
18,1914017.1,4222361,way/28539732,way/28539732,,industrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261.884810646625
19,1914384.8,4223660,way/521875815,way/521875815,,industrial,"La Poste, Agence Colis de Grenoble",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1367.93733694491
20,1913628.9,4222635.5,way/521875815,way/521875815,,industrial,"La Poste, Agence Colis de Grenoble",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.598347261216
21,1915539.4,4224585,way/105914393,way/105914393,,industrial,Elis,"cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour : 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1073.04348666147
22,1912829.6,4221453.5,way/165738295,way/165738295,,industrial,Ateliers Voirie Circulation,,,,,,,,,,,,,Ville de Grenoble,,,,,,,,,,,,,,,,,,,,,,,,291.399168868945
23,1914904.8,4222666.5,way/106192628,way/106192628,,industrial,Schneider,"cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour : 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,960.062122603146
