id,join_Station,distance
1,Grenoble les Frenes,1226.92121093016
2,Grenoble Grands Boulevards,1241.23320802726
3,Grenoble Grands Boulevards,665.303276333171
4,Grenoble Grands Boulevards,751.966536717297
5,Grenoble Grands Boulevards,1714.30156407559
6,Grenoble Rocade Sud,948.781744537628
7,Grenoble les Frenes,537.978857243358
8,Grenoble Grands Boulevards,787.28511731154
9,Saint-Martin d'Heres,1427.14583263418
10,Saint-Martin d'Heres,1210.61603977076
11,Grenoble Rocade Sud,1090.04266440813
12,Grenoble Grands Boulevards,920.25718696042
13,Grenoble les Frenes,1049.45334228159
14,Grenoble Grands Boulevards,466.378876650006
15,Grenoble Grands Boulevards,1309.64786296252
16,Grenoble Grands Boulevards,431.750219970925
17,Grenoble les Frenes,1155.58501618808
18,Grenoble les Frenes,1233.74856772257
19,Grenoble Grands Boulevards,649.563520837872
20,Grenoble Grands Boulevards,1043.5541401249
21,Saint-Martin d'Heres,977.754787940484
22,Grenoble Rocade Sud,419.740230453134
23,Grenoble les Frenes,1016.34346225451
24,Grenoble Grands Boulevards,1097.59298997747
25,Grenoble Grands Boulevards,682.949728472059
26,Grenoble Grands Boulevards,682.745058344607
27,Grenoble Grands Boulevards,544.994633527106
28,Saint-Martin d'Heres,1542.0883224835
29,Grenoble Grands Boulevards,933.684886321998
30,Saint-Martin d'Heres,1964.46026002075
31,Saint-Martin d'Heres,473.966990468007
32,Grenoble les Frenes,986.847098568087
33,Grenoble Grands Boulevards,979.286841806745
34,Grenoble Rocade Sud,872.733740622199
35,Grenoble les Frenes,320.090411021299
36,Saint-Martin d'Heres,1543.5245473678
37,Grenoble Grands Boulevards,958.485450938119
38,Grenoble Rocade Sud,581.688230567978
39,Grenoble les Frenes,911.301095891982
40,Grenoble Grands Boulevards,1304.67648075569
41,Grenoble les Frenes,1143.6584159294
42,Grenoble les Frenes,434.090417516581
43,Grenoble Rocade Sud,1015.74425303919
44,Grenoble Grands Boulevards,634.886630919234
45,Grenoble les Frenes,927.230737038335
46,Grenoble Grands Boulevards,1353.21258198246
47,Grenoble Grands Boulevards,1300.89653289139
48,Saint-Martin d'Heres,446.0435106633
49,Grenoble Rocade Sud,544.196694629091
50,Saint-Martin d'Heres,1466.26657822005
51,Grenoble Rocade Sud,763.561049895992
52,Grenoble les Frenes,634.500338360452
53,Grenoble les Frenes,752.62423617689
54,Grenoble les Frenes,823.875748938777
55,Grenoble Grands Boulevards,665.475362573364
56,Grenoble Grands Boulevards,1860.33809897182
57,Grenoble Grands Boulevards,1212.53734779469
58,Grenoble Grands Boulevards,935.904878957262
59,Grenoble Grands Boulevards,1498.30666924426
60,Saint-Martin d'Heres,1137.7383471243
61,Grenoble Grands Boulevards,1999.26642050411
62,Saint-Martin d'Heres,1111.48267453433
63,Grenoble Grands Boulevards,1206.31470904709
64,Grenoble Grands Boulevards,1026.71912165404
65,Grenoble Rocade Sud,1525.20712206486
66,Grenoble les Frenes,230.804261090209
67,Grenoble les Frenes,818.534756351193
68,Grenoble Rocade Sud,956.482057293626
69,Grenoble Rocade Sud,223.941851566878
70,Grenoble Rocade Sud,1011.30972161184
71,Saint-Martin d'Heres,1394.9903892703
72,Grenoble les Frenes,853.69583671703
73,Grenoble Grands Boulevards,871.463987772399
74,Grenoble Grands Boulevards,670.511016373773
75,Grenoble Grands Boulevards,280.799193969291
76,Grenoble Grands Boulevards,2288.55254564588
77,Grenoble les Frenes,644.551600947993
78,Saint-Martin d'Heres,1257.57038313343
79,Grenoble les Frenes,537.169323993228
80,Grenoble les Frenes,1079.02570119307
81,Grenoble les Frenes,791.114098409029
82,Grenoble Grands Boulevards,2149.51601142068
83,Grenoble Grands Boulevards,702.312351309021
84,Grenoble Rocade Sud,1537.95989505226
85,Grenoble les Frenes,818.498136354989
86,Grenoble Grands Boulevards,1796.8960067184
87,Grenoble Grands Boulevards,3119.90130982926
88,Grenoble Grands Boulevards,1999.237602492
89,Grenoble les Frenes,1185.39043760919
90,Grenoble les Frenes,1247.34522688486
91,Grenoble Grands Boulevards,3163.25048747113
92,Grenoble les Frenes,981.091835443973
93,Grenoble les Frenes,701.390433890581
94,Grenoble Rocade Sud,1006.48816344877
