id,coord_x,coord_y,join_id,join_@id,join_addr_city,join_addr_house,join_addr_postc,join_addr_stree,join_building,join_building_l,join_level,join_name,join_opening_ho,join_phone,join_roof_level,join_shop,join_website,join_addr_count,join_building_c,join_email,join_height,join_internet_a,join_roof_colou,join_roof_shape,join_operator,join_source,join_wheelchair,join_wikidata,distance
1,1915370.6,4222837,way/25743086,way/25743086,Grenoble,55,38100,Grand’place,retail,2,"0;1",Grand'Place,Mo-Sa 09:30-23:00,+33 4 76 09 55 45,0,mall,http://www.club-onlyou.com/Grand-Place/Shopping/Swarovski,,,,,,,,,,,,1651.11396587484
2,1913250.5,4222531,way/296898829,way/296898829,,,,,,,,Caserne de Bonne,,,,mall,,,,,,,,,,local_knowledge,,Q2944980,1530.1130242005
3,1913087,4223524.5,way/296898829,way/296898829,,,,,,,,Caserne de Bonne,,,,mall,,,,,,,,,,local_knowledge,,Q2944980,880.719206849149
4,1914186.8,4224275,way/296898829,way/296898829,,,,,,,,Caserne de Bonne,,,,mall,,,,,,,,,,local_knowledge,,Q2944980,150.399576523907
5,1912974.9,4225210,way/31527837,way/31527837,,,,,retail,9,,K' Store,,,,mall,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2013,yes,Q3191256,960.420458265792
6,1912600.4,4222098.5,way/66383915,way/66383915,,,,,retail,,,,,,,mall,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,931.554000320964
7,1914849.6,4222164.5,way/25743086,way/25743086,Grenoble,55,38100,Grand’place,retail,2,"0;1",Grand'Place,Mo-Sa 09:30-23:00,+33 4 76 09 55 45,0,mall,http://www.club-onlyou.com/Grand-Place/Shopping/Swarovski,,,,,,,,,,,,890.629742351918
8,1914402.6,4224091.5,way/296898829,way/296898829,,,,,,,,Caserne de Bonne,,,,mall,,,,,,,,,,local_knowledge,,Q2944980,244.071112187034
9,1915052.5,4224643.5,way/296898829,way/296898829,,,,,,,,Caserne de Bonne,,,,mall,,,,,,,,,,local_knowledge,,Q2944980,1044.28057171561
10,1915322.2,4224680,way/296898829,way/296898829,,,,,,,,Caserne de Bonne,,,,mall,,,,,,,,,,local_knowledge,,Q2944980,1300.80035779023
11,1913048.1,4222115,way/66383915,way/66383915,,,,,retail,,,,,,,mall,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,1361.96910430929
12,1914626.2,4223904.5,way/296898829,way/296898829,,,,,,,,Caserne de Bonne,,,,mall,,,,,,,,,,local_knowledge,,Q2944980,506.184740985105
