id,coord_x,coord_y,join_osm_id,join_name,join_type,join_population,distance
1,1915370.6,4222837,1822915467,Helbronner,neighbourhood,,784.168205287028
2,1913250.5,4222531,3768518877,Mistral - Bachelard,suburb,,652.978077234893
3,1913087,4223524.5,919369579,L'Aigle,neighbourhood,,631.986461340733
4,1914186.8,4224275,443945403,Championnet,neighbourhood,,288.706795106931
5,1912974.9,4225210,3363841337,Arago,neighbourhood,,258.063152435406
6,1912600.4,4222098.5,3768518877,Mistral - Bachelard,suburb,,132.941316673174
7,1914849.6,4222164.5,1822915468,La Bruyère,neighbourhood,,58.771404952483
8,1914402.6,4224091.5,443945403,Championnet,neighbourhood,,506.490206294205
9,1915052.5,4224643.5,3883913692,Mutualité,neighbourhood,,148.874723800849
10,1915322.2,4224680,3883913692,Mutualité,neighbourhood,,317.363688760964
11,1913048.1,4222115,2140400356,Rondeau,neighbourhood,,236.166447220827
12,1914626.2,4223904.5,3883913693,Préfecture,neighbourhood,,659.477217835273
13,1914914.6,4222701,1822915468,La Bruyère,neighbourhood,,481.659276965541
14,1913274,4223605.5,919369579,L'Aigle,neighbourhood,,438.710695588119
15,1912687.9,4222887.5,3391272616,Les Îles-Sud,neighbourhood,,603.05428031083
16,1913312,4223589,919369579,L'Aigle,neighbourhood,,425.773485745619
17,1914993.6,4222813,1822915468,La Bruyère,neighbourhood,,605.745215615842
18,1914017.1,4222361,3840890815,Clos d'Or,neighbourhood,,198.651224623324
19,1914384.8,4223660,26686589,Grenoble,city,155637,612.440380728758
20,1913628.9,4222635.5,3840890815,Clos d'Or,neighbourhood,,592.639384759169
21,1915539.4,4224585,550137565,Pont Carpin,quarter,,367.524029467157
22,1912829.6,4221453.5,2140400356,Rondeau,neighbourhood,,495.786463121754
23,1914904.8,4222666.5,1822915468,La Bruyère,neighbourhood,,446.277025538623
24,1914819.9,4223842.5,3883913693,Préfecture,neighbourhood,,717.502526368979
25,1914295.4,4224064.5,443945403,Championnet,neighbourhood,,410.572787071087
26,1914295,4223282.5,26686589,Grenoble,city,155637,761.189293708526
27,1913808.2,4223133.5,26686589,Grenoble,city,155637,734.710023859917
28,1915031.6,4224841,3883913692,Mutualité,neighbourhood,,51.8046692397093
29,1913321.4,4224510.5,2126097950,L'Estacade,neighbourhood,,338.245621098063
30,1915342.6,4225711,699050814,La Pièce Longue,locality,,327.298879413178
31,1915907.1,4223808.5,3837354216,Châtelet,Voisinage,,344.736374919509
32,1914093.6,4221349.5,663102355,Surieux,locality,,480.200114729735
33,1913003.9,4223022.5,3391272616,Les Îles-Sud,neighbourhood,,913.626933146176
34,1912626.5,4222020,3768518877,Mistral - Bachelard,suburb,,157.467134406463
35,1914710.9,4221660.5,1822915465,Arlequin,neighbourhood,,242.976027072294
36,1915106.1,4224950.5,3883913692,Mutualité,neighbourhood,,180.367300184773
