id,coord_x,coord_y,join_osm_id,join_name,join_type,join_oneway,join_bridge,join_tunnel,join_maxspeed,distance
1,1915370.6,4222837,162238385,Allée d'Essen,path,,,,,1.58775429250808
2,1913250.5,4222531,227683862,Cours de la Libération et du Général de Gaulle,residential,1,,,31,0.919282500968017
3,1913087,4223524.5,72233468,,footway,,,,,3.19148208488996
4,1914186.8,4224275,25399272,Rue François Raoult,pedestrian,,,,,0.492769528523774
5,1912974.9,4225210,238296760,,footway,,,,,10.6876169821355
6,1912600.4,4222098.5,134763728,,service,,,,,21.8952160974509
7,1914849.6,4222164.5,53563408,Chemin de la Maison de la Culture,footway,,,,,5.70024981856251
8,1914402.6,4224091.5,82633071,,footway,,,,,1.76924267030032
9,1915052.5,4224643.5,85388362,Rue Joseph Chanrion,residential,1,,,31,2.78310195668865
10,1915322.2,4224680,322550013,,path,,,,,18.5821717795957
11,1913048.1,4222115,93943676,,service,,,,,53.8010826015519
12,1914626.2,4223904.5,299529802,,path,1,,,,2.89831172563456
13,1914914.6,4222701,49643182,,service,1,,,,8.34189805424407
14,1913274,4223605.5,324871940,Boulevard Joseph Vallier,primary,1,,,51,5.88382903343993
15,1912687.9,4222887.5,29417311,Rue des Eaux Claires,tertiary,,,,31,5.92947640091856
16,1913312,4223589,53088414,Boulevard Joseph Vallier,path,1,,,,4.08127431539527
17,1914993.6,4222813,50259220,,service,,,,,4.73813554059543
18,1914017.1,4222361,237147549,Rue de Stalingrad,secondary,,,,31,10.3605326498037
19,1914384.8,4223660,237147563,,service,1,,,,3.27651827853192
20,1913628.9,4222635.5,95432,Rue Marquian,residential,,,,31,2.15109262682292
21,1915539.4,4224585,44140437,,path,,,,,15.6566392395113
22,1912829.6,4221453.5,9751750,,unclassified,,,,,14.2040455581939
23,1914904.8,4222666.5,50253229,Rue Federico Garcia Lorca,footway,,,,,6.75456850532308
24,1914819.9,4223842.5,38655223,Avenue Albert 1er de Belgique,secondary,,,,31,7.76696786689432
25,1914295.4,4224064.5,273791734,,footway,,,,,0.734115622518423
26,1914295,4223282.5,188199316,Rue des Déportés du 11 Novembre 1943,secondary,1,,,51,7.2704961624862
27,1913808.2,4223133.5,70845456,,footway,,,,,8.81270116920922
28,1915031.6,4224841,383532399,Rue Auguste Prudhomme,residential,1,,,31,11.6548038048764
29,1913321.4,4224510.5,50982309,,pedestrian,,,,,0.742351684879961
30,1915342.6,4225711,8016125,Rue de Mortillet,residential,1,,,,21.037651763497
31,1915907.1,4223808.5,77389428,Impasse Ganganelli,residential,,,,31,4.34759047057581
32,1914093.6,4221349.5,49024955,,tertiary_link,1,,,31,10.5571284322407
33,1913003.9,4223022.5,183763571,,cycleway,,,,,11.938349489929
34,1912626.5,4222020,330138755,,footway,,,,,41.1506133557388
35,1914710.9,4221660.5,169391254,,footway,,,,,20.562819451823
36,1915106.1,4224950.5,192659182,Saint-Roch,platform,,,,,6.29064138358521
37,1913007.5,4223050,172637637,,footway,,,,,2.48573856023163
38,1912627.6,4221726.5,330138755,,footway,,,,,68.9920938114093
39,1914856.9,4220763.5,3804831,,service,,,,,28.5672686245016
40,1912694.5,4222887,29417311,Rue des Eaux Claires,tertiary,,,,31,6.44953536677011
41,1915194,4222790,50258589,,footway,,,,,2.60536715991411
42,1915132.8,4222080,170850827,,footway,,,,,1.54247694978445
43,1912778.9,4222138.5,29417256,Avenue Beaumarchais,unclassified,,,,31,10.8762676806633
44,1913695.1,4223040,26749055,Rue Louvois,unclassified,,,,31,4.1548749799357
45,1915239.5,4222561.5,170076692,Avenue Malherbe,tertiary,,,,31,8.55099202802408
46,1912496.5,4224218,56016850,Rue des Arts et Métiers,unclassified,,,,,5.88852455004254
47,1912598.1,4223042,291434986,,cycleway,1,,,,5.27559266015442
48,1915932.8,4223819.5,77389428,Impasse Ganganelli,residential,,,,31,9.61371043207834
49,1912607.5,4221691.5,330138755,,footway,,,,,105.390008855599
50,1915003.9,4224632.5,242224264,,service,,,,,0.340317225267163
51,1912628,4221910,330138755,,footway,,,,,6.81604600040577
52,1914878.8,4222274,53563358,,footway,,,,,8.19218809940111
53,1914989.5,4222409.5,52597141,Rue Turgot,residential,0,,,31,9.86513693668603
54,1914968.2,4222479.5,50176120,,footway,,,,,4.31216374486323
55,1913341.5,4224210,16273972,Rue de Paris,residential,1,,,31,22.5833605667507
56,1914742.9,4225237.5,4787030,Avenue Maréchal Randon,tertiary,1,,,31,16.862191371339
57,1912522.9,4223685.5,241986876,,footway,,,,,26.3933807252685
58,1914650.4,4223477,299529835,,path,1,,,,3.13441677072548
59,1913524.5,4225157,357850501,,service,,,,,1.75674921459994
60,1915557.1,4223183.5,105905306,,footway,,,,,3.68913975639813
61,1914804.5,4225363,181638517,Avenue Maréchal Randon,tertiary,1,,,31,8.14993655499653
62,1915682.8,4223114,66756534,,cycleway,1,,,,1.22020886705167
63,1912532,4223589.5,338531459,,path,1,,,,17.5177993146657
64,1913683.2,4224699,229931877,Cours Jean Jaurès,cycleway,1,,,,1.98189929740433
65,1912427.5,4222673,199258323,,residential,,,,31,19.1365284651192
66,1915138.9,4221454,158367234,,footway,,,,,4.42641830996696
67,1914313.5,4222052,4221483,Allée des Deux Mondes,residential,,,,31,5.64377091157754
68,1913124.1,4221907.5,191107388,,residential,1,,,31,2.53911912993903
69,1912585.9,4221370.5,40195366,Rue Hilaire de Chardonnet,unclassified,,,,,3.88556160687709
70,1912436.4,4222158,4014316,,motorway_link,1,,,,20.7393577320729
71,1915279.4,4223101.5,4222987,,footway,,,,,3.82623164042352
72,1915516.8,4222360,380419818,Passage du Verderet,footway,,,,,3.38408556199656
73,1912995.9,4223212.5,5990174,Rue Joseph Bouchayer,unclassified,,,,31,37.9423755362399
74,1913646.6,4223009,26749055,Rue Louvois,unclassified,,,,31,4.38591874692092
75,1913459.8,4223727.5,324871968,,cycleway,1,,,,3.2336020480529
76,1912976,4225832.5,5107296,Rue Charles Bertier,unclassified,1,,,31,1.43003163041302
77,1914569.5,4222108,299529833,,service,1,,,,6.57173456776003
78,1915546.4,4224995.5,192659196,Avenue du Grand Sablon,tertiary,,,,31,37.2243221322326
79,1914499,4221732.5,299529792,Avenue Marie Reynoard,secondary,1,,,51,9.97736387439726
80,1913996.1,4221963.5,25898531,,pedestrian,,,,,3.834884382254
