measure_date|station_name|unity|family_name|pollution_name|measure_value
2004-01-01|Fontaine les Balmes|microg/m3|En continu|Dioxyde d'azote|-1,00
2004-01-01|Fontaine les Balmes|microg/m3|En continu|Monoxyde d'azote|-1,00
2004-01-01|Fontaine les Balmes|microg/m3|En continu|Ozone|24,00
2004-01-01|Fontaine les Balmes|microg/m3|En continu|Particules PM10|-1,00
2004-01-01|Grenoble Grands Boulevards|microg/m3|En continu|Dioxyde d'azote|-1,00
2004-01-01|Grenoble Grands Boulevards|microg/m3|En continu|Monoxyde d'azote|-1,00
2004-01-01|Grenoble Grands Boulevards|microg/m3|En continu|Particules PM10|-1,00
2004-01-01|Grenoble les Frenes|nanog/m3|Métaux lourds|Antimoine|-1,00
2004-01-01|Grenoble les Frenes|nanog/m3|En différé, métaux lourds|Arsenic|-1,00
2004-01-01|Grenoble les Frenes|nanog/m3|Métaux lourds|Baryum|-1,00
2004-01-01|Grenoble les Frenes|microg/m3|Volatil|Benzène|-1,00
2004-01-01|Grenoble les Frenes|nanog/m3|Hydrocarbure|Benzo(a)anthracène|-1,00
2004-01-01|Grenoble les Frenes|nanog/m3|En différé|Benzo(a)pyrène|-1,00
2004-01-01|Grenoble les Frenes|nanog/m3|Hydrocarbure|Benzo(b)fluoranthène|-1,00
2004-01-01|Grenoble les Frenes|nanog/m3|Hydrocarbure|Benzo(j)fluoranthène|-1,00
2004-01-01|Grenoble les Frenes|nanog/m3|Hydrocarbure|Benzo(k)fluoranthène|-1,00
2004-01-01|Grenoble les Frenes|nanog/m3|En différé, métaux lourds|Cadmium|-1,00
2004-01-01|Grenoble les Frenes|nanog/m3|Métaux lourds|Chrome|-1,00
2004-01-01|Grenoble les Frenes|nanog/m3|Métaux lourds|Cobalt|-1,00
2004-01-01|Grenoble les Frenes|nanog/m3|Métaux lourds|Cuivre|-1,00
2004-01-01|Grenoble les Frenes|nanog/m3|Hydrocarbure|Dibenzo(a,h)anthracène|-1,00
2004-01-01|Grenoble les Frenes|microg/m3|En continu|Dioxyde d'azote|42,00
2004-01-01|Grenoble les Frenes|microg/m3|En continu|Dioxyde soufre|10,00
2004-01-01|Grenoble les Frenes|microg/m3|Volatil|EthylBenzene|-1,00
2004-01-01|Grenoble les Frenes|nanog/m3|Hydrocarbure|Indéno(1,2,3-cd)pyrène|-1,00
2004-01-01|Grenoble les Frenes|microg/m3|Volatil|m+p-Xylène|-1,00
2004-01-01|Grenoble les Frenes|nanog/m3|Métaux lourds|Manganèse|-1,00
2004-01-01|Grenoble les Frenes|nanog/m3|Métaux lourds|Mercure|-1,00
2004-01-01|Grenoble les Frenes|microg/m3|En continu|Monoxyde d'azote|31,00
2004-01-01|Grenoble les Frenes|nanog/m3|En différé, métaux lourds|Nickel|-1,00
