id;measure_date;station_name;unity;family_name;pollution_name;measure_value
1;2004-01-01;Fontaine les Balmes;microg/m3;En continu;Dioxyde d'azote;-1
2;2004-01-01;Fontaine les Balmes;microg/m3;En continu;Monoxyde d'azote;-1
3;2004-01-01;Fontaine les Balmes;microg/m3;En continu;Ozone;24
4;2004-01-01;Fontaine les Balmes;microg/m3;En continu;Particules PM10;-1
5;2004-01-01;Grenoble Grands Boulevards;microg/m3;En continu;Dioxyde d'azote;-1
6;2004-01-01;Grenoble Grands Boulevards;microg/m3;En continu;Monoxyde d'azote;-1
7;2004-01-01;Grenoble Grands Boulevards;microg/m3;En continu;Particules PM10;-1
8;2004-01-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Antimoine;-1
9;2004-01-01;Grenoble les Frenes;nanog/m3;En différé, métaux lourds;Arsenic;-1
10;2004-01-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Baryum;-1
11;2004-01-01;Grenoble les Frenes;microg/m3;Volatil;Benzène;-1
12;2004-01-01;Grenoble les Frenes;nanog/m3;Hydrocarbure;Benzo(a)anthracène;-1
13;2004-01-01;Grenoble les Frenes;nanog/m3;En différé;Benzo(a)pyrène;-1
14;2004-01-01;Grenoble les Frenes;nanog/m3;Hydrocarbure;Benzo(b)fluoranthène;-1
15;2004-01-01;Grenoble les Frenes;nanog/m3;Hydrocarbure;Benzo(j)fluoranthène;-1
16;2004-01-01;Grenoble les Frenes;nanog/m3;Hydrocarbure;Benzo(k)fluoranthène;-1
17;2004-01-01;Grenoble les Frenes;nanog/m3;En différé, métaux lourds;Cadmium;-1
18;2004-01-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Chrome;-1
19;2004-01-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Cobalt;-1
20;2004-01-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Cuivre;-1
21;2004-01-01;Grenoble les Frenes;nanog/m3;Hydrocarbure;Dibenzo(a,h)anthracène;-1
22;2004-01-01;Grenoble les Frenes;microg/m3;En continu;Dioxyde d'azote;42
23;2004-01-01;Grenoble les Frenes;microg/m3;En continu;Dioxyde soufre;10
24;2004-01-01;Grenoble les Frenes;microg/m3;Volatil;EthylBenzene;-1
25;2004-01-01;Grenoble les Frenes;nanog/m3;Hydrocarbure;Indéno(1,2,3-cd)pyrène;-1
26;2004-01-01;Grenoble les Frenes;microg/m3;Volatil;m+p-Xylène;-1
27;2004-01-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Manganèse;-1
28;2004-01-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Mercure;-1
29;2004-01-01;Grenoble les Frenes;microg/m3;En continu;Monoxyde d'azote;31
30;2004-01-01;Grenoble les Frenes;nanog/m3;En différé, métaux lourds;Nickel;-1
31;2004-01-01;Grenoble les Frenes;microg/m3;Volatil;o-Xylene;-1
32;2004-01-01;Grenoble les Frenes;microg/m3;En continu;Ozone;18
33;2004-01-01;Grenoble les Frenes;microg/m3;En continu;Particules PM10;-1
34;2004-01-01;Grenoble les Frenes;microg/m3;En continu;Particules PM2,5;-1
35;2004-01-01;Grenoble les Frenes;nanog/m3;En différé, métaux lourds;Plomb;-1
36;2004-01-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Thallium;-1
37;2004-01-01;Grenoble les Frenes;microg/m3;Volatil;Toluène;-1
38;2004-01-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Vanadium;-1
39;2004-01-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Zinc;-1
40;2004-01-01;Grenoble Rocade Sud;microg/m3;Volatil;Benzène;2,9
41;2004-01-01;Grenoble Rocade Sud;nanog/m3;Hydrocarbure;Benzo(a)anthracène;-1
42;2004-01-01;Grenoble Rocade Sud;nanog/m3;En différé;Benzo(a)pyrène;-1
43;2004-01-01;Grenoble Rocade Sud;nanog/m3;Hydrocarbure;Benzo(b)fluoranthène;-1
44;2004-01-01;Grenoble Rocade Sud;nanog/m3;Hydrocarbure;Benzo(j)fluoranthène;-1
45;2004-01-01;Grenoble Rocade Sud;nanog/m3;Hydrocarbure;Benzo(k)fluoranthène;-1
46;2004-01-01;Grenoble Rocade Sud;nanog/m3;Hydrocarbure;Dibenzo(a,h)anthracène;-1
47;2004-01-01;Grenoble Rocade Sud;microg/m3;En continu;Dioxyde d'azote;57
48;2004-01-01;Grenoble Rocade Sud;nanog/m3;Hydrocarbure;Indéno(1,2,3-cd)pyrène;-1
49;2004-01-01;Grenoble Rocade Sud;microg/m3;En continu;Monoxyde d'azote;109
50;2004-01-01;Grenoble Rocade Sud;microg/m3;En continu;Particules PM10;-1
51;2004-01-01;Grenoble Rocade Sud;microg/m3;En continu;Particules PM2,5;-1
52;2004-01-01;Grenoble Rocade Sud;microg/m3;Volatil;Toluène;21,3
53;2004-01-01;Saint-Martin d'Heres;microg/m3;En continu;Dioxyde d'azote;41
54;2004-01-01;Saint-Martin d'Heres;microg/m3;En continu;Monoxyde d'azote;48
55;2004-01-01;Saint-Martin d'Heres;microg/m3;En continu;Ozone;16
56;2004-01-01;Saint-Martin d'Heres;microg/m3;En continu;Particules PM10;-1
57;2004-02-01;Fontaine les Balmes;microg/m3;En continu;Dioxyde d'azote;46
58;2004-02-01;Fontaine les Balmes;microg/m3;En continu;Monoxyde d'azote;21
59;2004-02-01;Fontaine les Balmes;microg/m3;En continu;Ozone;28
60;2004-02-01;Fontaine les Balmes;microg/m3;En continu;Particules PM10;-1
