ID;root;trunk;collar;crown;diseases
1;0;0;0;0;xxxx
2;0;0;0;0;xxxx
3;0;0;0;0;xxxx
4;1;0;0;1;RxxK
5;0;0;0;0;xxxx
6;0;0;1;0;xxCx
7;0;0;0;0;xxxx
8;0;0;0;1;xxxK
9;0;0;0;0;xxxx
10;0;0;0;1;xxxK
11;0;0;0;0;xxxx
12;0;0;0;1;xxxK
13;0;0;0;0;xxxx
14;0;0;0;0;xxxx
15;0;0;0;1;xxxK
16;0;0;0;0;xxxx
17;0;0;0;0;xxxx
18;0;1;0;0;xTxx
19;0;0;0;0;xxxx
20;0;0;0;0;xxxx
21;0;0;0;1;xxxK
22;0;0;0;0;xxxx
23;0;0;0;0;xxxx
24;0;0;0;0;xxxx
25;0;0;0;1;xxxK
26;0;0;0;0;xxxx
27;0;0;0;1;xxxK
28;0;0;0;0;xxxx
29;0;1;0;0;xTxx
30;0;0;0;0;xxxx
31;0;0;0;0;xxxx
32;0;0;0;0;xxxx
33;0;0;0;0;xxxx
34;0;0;0;0;xxxx
35;0;1;0;0;xTxx
36;0;0;0;0;xxxx
37;0;0;0;0;xxxx
38;0;0;0;0;xxxx
39;0;0;0;0;xxxx
40;0;1;0;0;xTxx
41;0;0;0;1;xxxK
42;0;1;0;1;xTxK
43;0;0;0;0;xxxx
44;0;0;0;0;xxxx
45;0;0;0;0;xxxx
46;0;0;0;0;xxxx
47;0;0;0;0;xxxx
48;0;0;0;0;xxxx
49;0;0;0;0;xxxx
50;0;0;0;0;xxxx
51;0;1;1;1;xTCK
52;0;0;0;0;xxxx
53;0;0;0;0;xxxx
54;0;0;0;0;xxxx
55;0;0;0;1;xxxK
56;0;0;0;1;xxxK
57;0;0;0;1;xxxK
58;0;0;0;0;xxxx
59;1;1;1;1;RTCK
60;0;0;0;0;xxxx
61;1;0;1;1;RxCK
62;0;0;0;0;xxxx
63;0;1;0;0;xTxx
64;0;0;0;0;xxxx
65;0;0;0;0;xxxx
66;0;0;0;1;xxxK
67;0;0;0;0;xxxx
68;0;0;0;0;xxxx
69;0;1;0;0;xTxx
70;0;0;0;1;xxxK
71;1;0;0;1;RxxK
72;0;0;0;0;xxxx
73;0;0;0;0;xxxx
74;0;0;0;1;xxxK
75;0;0;0;0;xxxx
76;0;0;0;0;xxxx
77;0;0;1;0;xxCx
78;0;0;0;1;xxxK
79;0;0;0;0;xxxx
80;0;0;1;0;xxCx
81;0;0;0;0;xxxx
82;0;1;0;0;xTxx
83;1;0;0;0;Rxxx
84;0;0;0;0;xxxx
85;0;0;0;0;xxxx
86;0;0;0;1;xxxK
87;0;0;0;0;xxxx
88;0;0;0;0;xxxx
89;0;0;0;0;xxxx
90;0;0;0;0;xxxx
91;0;0;0;0;xxxx
92;0;0;0;0;xxxx
93;0;0;0;0;xxxx
94;0;0;0;0;xxxx
95;0;0;0;0;xxxx
96;0;0;0;0;xxxx
97;0;0;0;1;xxxK
98;0;0;0;0;xxxx
99;0;0;0;0;xxxx
100;0;0;0;0;xxxx
101;0;0;0;0;xxxx
102;0;0;0;0;xxxx
103;0;0;0;0;xxxx
104;0;0;0;0;xxxx
105;0;0;0;1;xxxK
106;0;0;0;1;xxxK
107;0;1;0;0;xTxx
108;0;0;0;0;xxxx
109;0;0;0;0;xxxx
110;0;0;0;0;xxxx
111;0;1;0;0;xTxx
112;0;0;0;0;xxxx
113;1;0;1;0;RxCx
114;0;0;0;0;xxxx
115;0;0;0;0;xxxx
116;0;1;0;0;xTxx
117;0;1;0;0;xTxx
118;0;1;0;1;xTxK
119;0;0;0;0;xxxx
120;0;0;0;0;xxxx
121;0;0;0;0;xxxx
122;0;0;0;0;xxxx
123;0;0;0;1;xxxK
124;0;0;0;0;xxxx
125;0;1;0;0;xTxx
126;0;1;0;0;xTxx
127;0;0;0;0;xxxx
128;0;1;1;0;xTCx
129;0;0;0;0;xxxx
130;0;0;0;0;xxxx
131;0;0;0;0;xxxx
132;0;0;0;0;xxxx
133;0;1;0;0;xTxx
134;0;1;0;1;xTxK
135;0;0;0;0;xxxx
136;0;0;0;0;xxxx
137;0;0;0;1;xxxK
138;1;0;0;1;RxxK
139;0;1;1;1;xTCK
140;0;1;0;1;xTxK
141;0;0;0;0;xxxx
142;0;0;0;0;xxxx
143;0;0;0;0;xxxx
144;0;0;0;0;xxxx
145;0;0;0;0;xxxx
146;0;0;0;0;xxxx
147;0;1;0;0;xTxx
148;0;0;0;1;xxxK
149;0;1;0;1;xTxK
150;0;0;0;0;xxxx
151;1;0;0;1;RxxK
152;0;0;0;1;xxxK
153;0;0;0;0;xxxx
154;1;1;1;0;RTCx
155;0;0;0;0;xxxx
156;0;0;0;0;xxxx
157;0;0;0;0;xxxx
158;0;0;0;0;xxxx
159;0;0;0;0;xxxx
160;0;0;0;0;xxxx
161;0;0;0;0;xxxx
162;0;0;0;0;xxxx
163;0;0;0;0;xxxx
164;0;0;0;0;xxxx
165;0;0;0;0;xxxx
166;1;1;0;0;RTxx
167;0;0;0;1;xxxK
168;0;0;0;0;xxxx
169;0;0;0;0;xxxx
170;0;0;0;0;xxxx
171;0;0;0;0;xxxx
172;0;0;0;0;xxxx
173;0;0;0;0;xxxx
174;0;0;0;0;xxxx
175;0;0;0;0;xxxx
176;0;0;0;0;xxxx
177;0;0;0;1;xxxK
178;0;0;0;0;xxxx
179;0;0;0;0;xxxx
180;0;0;0;0;xxxx
