ID;species;genus;seedingYear;seeding5YearPeriod;sidewalkProximity;environmentBusyness;vigor
1;cordata;Alnus;2014;2010;non;passages fréquents ou arrêts;vigoureux
2;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
3;grandiflora;Magnolia;2004;2000;oui;passages fréquents ou arrêts;vigoureux
4;japonica;Sophora;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
5;americana;Fraxinus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
6;abies;Picea;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
7;excelsior;Fraxinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
8;nigra;Populus;2004;2000;non;passages fréquents et arrêts fréquents;vieillissement dépérissement
9;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
10;N/A;Acer;2004;2000;non;passages fréquents ou arrêts;vigoureux
11;N/A;Tilia;2009;2005;non;passages fréquents ou arrêts;vigoureux
12;tomentosa;Tilia;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
13;japonica;Sophora;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
14;verrucosa;Betula;2005;2005;non;passages fréquents et arrêts fréquents;vigoureux
15;N/A;Carpinus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
16;styraciflua;Liquidambar;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
17;pseudoplatanus;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
18;japonica;Sophora;2004;2000;non;passages fréquents et arrêts fréquents;vieillissement dépérissement
19;retusus;Chionanthus;2009;2005;non;passages fréquents et arrêts fréquents;vigoureux
20;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
21;nigra;Populus;2006;2005;non;passages fréquents ou arrêts;vigoureux
22;verrucosa;Betula;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
23;nigra;Pinus;2004;2000;non;passages fréquents ou arrêts;vigueur intermédiaire
24;tomentosa;Tilia;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
25;pseudoplatanus;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
26;arizonica;Cupressus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
27;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
28;nigra;Pinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
29;cordata;Tilia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
30;tulipifera;Liriodendron;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
31;nigra;Pinus;2004;2000;non;quelques passages;N/A
32;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
33;carica;Ficus;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
34;japonica;Sophora;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
35;siliquastrum;Cercis;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
36;betulus;Carpinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
37;nigra;Pinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
38;australis;Celtis;2009;2005;non;passages fréquents et arrêts fréquents;vigoureux
39;nigra;Pinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
40;N/A;Carpinus;2005;2005;oui;passages fréquents et arrêts fréquents;vigoureux
41;styraciflua;Liquidambar;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
42;campestris;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
43;altissima;Ailanthus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
44;japonica;Sophora;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
45;styraciflua;Liquidambar;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
46;floribunda;Malus;2014;2010;non;passages fréquents ou arrêts;vigoureux
47;platanoides;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
48;sempervirens;Cupressus;2004;2000;non;quelques passages;vigoureux
49;pseudoacacia;Robinia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
50;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
51;pseudoplatanus;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
52;tomentosa;Tilia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
53;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
54;baccata;Taxus;2004;2000;non;passages fréquents ou arrêts;vigoureux
55;tomentosa;Tilia;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
56;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
57;saccharinum;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
58;saccharinum;Acer;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
59;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vieillissement dépérissement
60;tomentosa;Paulownia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
61;pseudoplatanus;Acer;2004;2000;non;passages fréquents ou arrêts;vigoureux
62;americana;Fraxinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
63;bombycis;Morus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
64;platanor;Platanus;2014;2010;oui;passages fréquents ou arrêts;vigoureux
65;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
66;pseudoacacia;Robinia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
67;ornus;Fraxinus;2014;2010;oui;passages fréquents ou arrêts;vigoureux
68;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
69;cordata;Alnus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
70;platanoides;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
