ID;isLast;diagnosisYear;diagnosis5YearPeriod;diagnosisNote;developmentStatus
1;false;2014;2010;Arbre d'avenir normal;Arbre jeune
2;false;2013;2010;Arbre d'avenir normal;Arbre adulte
3;false;-999;-995;Arbre d'avenir normal;Arbre adulte
4;false;2014;2010;Arbre d'avenir normal;Arbre adulte
5;false;2013;2010;Arbre d'avenir normal;Arbre adulte
6;false;2015;2015;Arbre à abattre dans les 5 ans;Arbre adulte
7;false;2013;2010;Arbre d'avenir normal;Arbre adulte
8;false;2014;2010;Arbre à abattre dans les 10 ans;Arbre vieillissant
9;false;2013;2010;Arbre d'avenir normal;Arbre adulte
10;false;2015;2015;Arbre d'avenir incertain;Arbre adulte
11;false;2015;2015;Arbre d'avenir normal;Arbre jeune
12;false;2014;2010;Arbre d'avenir normal;Arbre adulte
13;false;2013;2010;Arbre d'avenir incertain;Arbre adulte
14;false;2015;2015;Arbre d'avenir normal;Arbre jeune
15;false;2015;2015;Arbre d'avenir normal;Arbre adulte
16;false;2015;2015;Arbre d'avenir normal;Arbre jeune
17;false;2013;2010;Arbre d'avenir normal;Arbre adulte
18;false;2015;2015;Arbre à abattre dans les 5 ans;Arbre adulte
19;false;2013;2010;Arbre d'avenir normal;Arbre jeune
20;false;2013;2010;Arbre d'avenir normal;Arbre adulte
21;false;2015;2015;Arbre d'avenir incertain;Arbre vieillissant
22;false;2014;2010;Arbre d'avenir normal;Arbre jeune
23;false;2013;2010;Arbre d'avenir incertain;Arbre adulte
24;false;2013;2010;Arbre d'avenir normal;Arbre adulte
25;false;2014;2010;Arbre d'avenir incertain;Arbre adulte
26;false;2013;2010;Arbre d'avenir normal;Arbre adulte
27;false;2014;2010;Arbre d'avenir normal;Arbre adulte
28;false;2015;2015;Arbre d'avenir normal;Arbre adulte
29;false;2014;2010;Arbre d'avenir incertain;Arbre adulte
30;false;2014;2010;Arbre d'avenir normal;Arbre adulte
31;false;2013;2010;Arbre d'avenir incertain;Arbre adulte
32;false;2014;2010;Arbre d'avenir normal;Arbre adulte
33;false;2014;2010;Arbre d'avenir normal;Arbre adulte
34;false;2013;2010;Arbre d'avenir normal;Arbre adulte
35;false;2015;2015;Arbre d'avenir normal;Arbre adulte
36;false;2014;2010;Arbre d'avenir normal;Arbre adulte
37;false;2014;2010;Arbre d'avenir normal;Arbre adulte
38;false;2013;2010;Arbre d'avenir normal;Arbre jeune
39;false;2014;2010;Arbre d'avenir normal;Arbre adulte
40;false;2015;2015;Arbre d'avenir normal;Arbre adulte
41;false;2015;2015;Arbre d'avenir normal;Arbre adulte
42;false;2015;2015;Arbre d'avenir incertain;Arbre adulte
43;false;2015;2015;Arbre d'avenir normal;Arbre adulte
44;false;2013;2010;Arbre d'avenir normal;Arbre adulte
45;false;2015;2015;Arbre d'avenir normal;Arbre adulte
46;false;2014;2010;Arbre d'avenir normal;Arbre jeune
47;false;2014;2010;Arbre d'avenir normal;Arbre adulte
48;false;2013;2010;Arbre d'avenir normal;Arbre jeune
49;false;2013;2010;Arbre d'avenir normal;Arbre adulte
50;false;2013;2010;Arbre d'avenir normal;Arbre adulte
51;false;2013;2010;Arbre d'avenir normal;Arbre adulte
52;false;2013;2010;Arbre d'avenir normal;Arbre adulte
53;false;2013;2010;Arbre d'avenir normal;Arbre adulte
54;false;2013;2010;Arbre d'avenir normal;Arbre adulte
55;false;2015;2015;Arbre d'avenir incertain;Arbre adulte
56;false;2014;2010;Arbre d'avenir normal;Arbre adulte
57;false;2015;2015;Arbre d'avenir normal;Arbre adulte
58;false;2014;2010;Arbre d'avenir normal;Arbre adulte
59;false;2015;2015;Arbre à abattre dans les 10 ans;Arbre vieillissant
60;false;2015;2015;Arbre d'avenir incertain;Arbre adulte
61;false;2015;2015;Arbre à abattre dans les 10 ans;Arbre vieillissant
62;false;2013;2010;Arbre d'avenir normal;Arbre jeune
63;false;2014;2010;Arbre d'avenir normal;Arbre adulte
64;false;2014;2010;Arbre d'avenir normal;Arbre jeune
