ID;species;genus;seedingYear;seeding5YearPeriod;sidewalkProximity;environmentBusyness;vigor;stumpDiameter;stumpDiameterGroup
1;cordata;Alnus;2014;2010;non;passages fréquents ou arrêts;vigoureux;10 à 20 cm;0
2;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;30 à 40 cm;0
3;grandiflora;Magnolia;2004;2000;oui;passages fréquents ou arrêts;vigoureux;10 à 20 cm;0
4;japonica;Sophora;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;40 à 50 cm;0
5;americana;Fraxinus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
6;abies;Picea;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;40 à 50 cm;0
7;excelsior;Fraxinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;30 à 40 cm;0
8;nigra;Populus;2004;2000;non;passages fréquents et arrêts fréquents;vieillissement dépérissement;30 à 40 cm;0
9;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;40 à 50 cm;0
10;Unknown;Acer;2004;2000;non;passages fréquents ou arrêts;vigoureux;40 à 50 cm;0
11;Unknown;Tilia;2009;2005;non;passages fréquents ou arrêts;vigoureux;10 à 20 cm;0
12;tomentosa;Tilia;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;40 à 50 cm;0
13;japonica;Sophora;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
14;verrucosa;Betula;2005;2005;non;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
15;Unknown;Carpinus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
16;styraciflua;Liquidambar;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
17;pseudoplatanus;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire;20 à 30 cm;0
18;japonica;Sophora;2004;2000;non;passages fréquents et arrêts fréquents;vieillissement dépérissement;20 à 30 cm;0
19;retusus;Chionanthus;2009;2005;non;passages fréquents et arrêts fréquents;vigoureux;0 à 10 cm;0
20;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;30 à 40 cm;0
21;nigra;Populus;2006;2005;non;passages fréquents ou arrêts;vigoureux;110 à 120 cm;0
22;verrucosa;Betula;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;0 à 10 cm;0
23;nigra;Pinus;2004;2000;non;passages fréquents ou arrêts;vigueur intermédiaire;30 à 40 cm;0
24;tomentosa;Tilia;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;30 à 40 cm;0
