"id";"coord_x";"coord_y"
"0";"1913686.94533";"4222576.58197"
"1";"1912951.76222";"4222286.73436"
"2";"1914217.05403";"4222260.65282"
"3";"1914938.09145";"4222693.9062"
"4";"1915354.39721";"4224655.89146"
"5";"1915057.30358";"4222168.08422"
"6";"1912500.28341";"4221863.75518"
"7";"1914616.31396";"4221576.41379"
"8";"1914660.04776";"4221734.9178"
"9";"1914659.40725";"4225386.21013"
"10";"1912500.98661";"4221922.69342"
"11";"1915345.50279";"4221489.59428"
"12";"1914919.63217";"4223317.94627"
"13";"1913176.88635";"4224369.45758"
"14";"1913846.18687";"4224741.54834"
"15";"1915180.43477";"4224944.40945"
"16";"1913621.00246";"4223111.14813"
"17";"1914777.03565";"4222480.32669"
"18";"1915544.08025";"4223194.60386"
"19";"1912784.76771";"4223070.49609"
"20";"1913679.24279";"4225161.48552"
"21";"1914218.23632";"4222245.81057"
"22";"1912637.51557";"4221745.90317"
"23";"1915375.02016";"4225286.65019"
"24";"1913668.28314";"4221604.95906"
"25";"1915192.05311";"4221508.65913"
"26";"1914243.33755";"4221729.86489"
"27";"1914717.06707";"4222182.60323"
"28";"1914933.70718";"4223275.0693"
"29";"1914863.8515";"4225327.86027"
"30";"1915211.51715";"4222611.12025"
"31";"1913987.92202";"4221672.56806"
"32";"1914787.95319";"4224934.20161"
"33";"1914489.61605";"4221640.61635"
"34";"1914964.55696";"4222554.91506"
"35";"1912846.94408";"4221901.85932"
"36";"1914220.49934";"4222210.59343"
"37";"1914805.93832";"4222265.18845"
"38";"1913687.00074";"4224695.09796"
"39";"1915402.64243";"4224725.04581"
"40";"1913380.81571";"4225349.9864"
"41";"1915715.84124";"4223443.31305"
"42";"1914194.10001";"4224948.56739"
"43";"1914151.62377";"4222103.20909"
"44";"1913669.92897";"4221456.78376"
"45";"1915132.24038";"4222411.92013"
"46";"1915443.59861";"4223180.76349"
"47";"1914036.53331";"4222885.58848"
"48";"1914726.51821";"4221752.03623"
